JPT_NAZWA_;ges.zal;st.bez.rej;roz.1000;ub.1000;wyk.prze;wyn.og;l.abs.1000;mez.20.39.1000
powiat białobrzeski;52;7,6;1,252161469;34;78,2;3924,35;6;160
powiat ciechanowski;85;9,9;1,555970481;37;86,1;4466,27;7;150
powiat garwoliński;85;9,1;0,899239317;20;84,7;4150,96;7;155
powiat gostyniński;74;14,5;1,649765733;35;77,9;3876,1;5;145
powiat grodziski;256;2,9;1,820198822;23;75,7;4978,59;4;133
powiat grójecki;78;2,1;1,722373633;15;73,4;4584,7;4;142
powiat kozienicki;66;10,9;1,367403087;38;79,2;5488,52;4;150
powiat legionowski;299;6,9;3,068016363;20;69,8;4433,54;3;135
powiat lipski;46;9,9;1,072588126;41;88,2;3869,6;3;148
powiat łosicki;40;5,6;0,861656295;35;83,9;3800,57;5;151
powiat makowski;43;16,3;1,382185169;44;80,6;3789,6;6;151
powiat miński;132;5,2;1,353427703;20;75;4084,49;6;144
powiat mławski;62;5,9;1,49912778;29;80,6;3811,03;6;154
powiat nowodworski;114;6;1,677217584;25;76,4;5486,64;3;146
powiat ostrołęcki;42;10,1;1,318934031;28;83,6;4031,87;1;163
powiat ostrowski;60;8,5;1,50100977;34;78,1;4020,31;6;150
powiat otwocki;201;4,1;1,397753898;18;68,3;4503,3;4;135
powiat piaseczyński;298;3,9;2,065071728;12;58;4739,75;4;131
powiat płocki;62;11,6;1,411540467;33;82,5;4001,91;1;152
powiat płoński;63;10,3;1,711117702;27;87;4117,68;7;148
powiat pruszkowski;667;3,3;2,172818895;11;57,4;5757,06;3;131
powiat przasnyski;43;9,6;1,2101959;52;89,1;4025,27;7;152
powiat przysuski;52;18,4;0,712318359;36;86,5;3794,1;6;152
powiat pułtuski;63;12,5;1,389049659;37;82,2;3838,23;5;152
powiat radomski;99;17,4;1,164818532;30;74,2;3687,64;2;158
powiat siedlecki;51;5,5;0,835360311;31;79,1;3709,87;14;157
powiat sierpecki;61;16,6;1,769440058;41;90,2;3980,58;8;150
powiat sochaczewski;116;5,9;1,843263869;29;78,2;4629,4;6;146
powiat sokołowski;48;5,6;1,172075306;25;85,2;3992,8;7;148
powiat szydłowiecki;88;24,3;1,427212179;66;82,5;3610,92;2;157
powiat warszawski zachodni;219;2;1,524258223;11;62,4;5375,27;1;131
powiat węgrowski;54;6,3;1,247970169;42;82,8;3978,57;6;151
powiat wołomiński;257;7,4;1,756996982;20;75,1;4472,81;2;144
powiat wyszkowski;85;4,3;1,702242637;25;82;3908,9;9;153
powiat zwoleński;63;10,8;0,983445337;38;93,8;4026,66;5;154
powiat żuromiński;48;14,9;0,76407814;32;82,9;3576,47;5;148
powiat żyrardowski;142;10,4;1,972230988;23;74,6;4535,22;5;138
powiat Ostrołęka;1562;9,1;2,268784199;53;90,3;4832,05;20;143
powiat Płock;1363;6,8;2,491990032;39;66,5;5705,32;12;133
powiat Radom;1905;12,1;1,766356273;52;70,7;4388,04;11;142
powiat Siedlce;2444;4,8;1,841525762;32;79,8;4364,06;14;144
powiat Warszawa;3437;1,5;2,03670489;13;48,8;6432,78;8;133
