;Kraków;Warszawa;Poznań;Gdynia;Łódź;Wroclaw;Lublin;Szczecin;Białystok;Rzeszów
Kraków;0;307;401;630;277;262;313;619;495;158
Warszawa;307;0;293;355;122;280;185;514;190;376
Poznań;401;293;0;329;246;185;471;226;483;559
Gdynia;630;355;329;0;393;481;521;353;469;729
Łódź;277;122;246;393;0;261;264;474;310;365
Wroclaw;262;280;185;481;261;0;497;370;568;420
Lublin;313;185;471;521;264;497;0;690;323;216
Szczecin;619;514;226;353;474;370;690;0;704;777
Białystok;495;190;483;469;310;568;323;704;0;539
Rzeszów;158;376;559;729;365;420;216;777;539;0
